"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","left","promotion_last_5years","sales","salary"
"9659",0.61,0.96,4,161,3,1,0,0,"technical","medium"
"698",0.11,0.8,6,306,4,0,1,0,"sales","low"
"8154",0.44,0.54,3,115,3,0,0,0,"IT","medium"
"13427",0.52,0.84,3,261,8,0,0,1,"accounting","low"
"14507",0.38,0.51,2,146,3,0,1,0,"IT","medium"
"4981",0.89,0.74,4,174,2,0,0,0,"sales","low"
"10006",0.72,0.74,2,238,3,0,0,0,"management","medium"
"10316",0.9,0.64,4,201,2,1,0,0,"sales","medium"
"1320",0.4,0.52,2,143,3,0,1,0,"sales","medium"
"11681",0.59,0.69,3,200,3,0,0,0,"sales","low"
"12681",0.1,0.83,6,269,4,0,1,0,"IT","low"
"2548",0.94,0.91,5,254,3,0,0,0,"accounting","low"
"14",0.41,0.55,2,148,3,0,1,0,"sales","low"
"3742",0.66,0.4,2,155,5,1,0,0,"support","medium"
"1104",0.38,0.52,2,156,3,0,1,0,"technical","low"
"7798",0.61,0.89,2,287,4,0,0,0,"sales","medium"
"8224",0.71,0.69,3,274,3,0,0,0,"support","medium"
"6958",0.96,0.37,3,111,2,0,0,0,"sales","high"
"14693",0.1,0.79,6,274,4,0,1,0,"sales","low"
"13973",0.88,0.83,4,273,10,0,0,0,"sales","medium"
"12878",0.88,0.99,5,253,2,0,0,0,"technical","medium"
"9251",0.96,0.95,4,265,2,0,0,0,"sales","low"
"10577",0.88,0.6,4,162,2,0,0,0,"technical","low"
"7617",0.71,0.8,5,248,4,0,0,0,"management","medium"
"14241",0.38,0.5,2,132,3,0,1,0,"accounting","low"
"5167",0.79,0.9,3,152,4,0,0,0,"support","medium"
"937",0.1,0.95,7,301,4,0,1,0,"sales","low"
"9390",0.8,0.86,3,226,2,0,0,0,"accounting","medium"
"10359",0.52,0.38,3,132,4,0,0,0,"support","medium"
"14031",0.61,0.61,4,246,2,0,0,0,"accounting","low"
"7347",0.36,0.69,3,98,2,0,0,0,"sales","low"
"5644",0.56,0.69,5,239,2,1,0,0,"IT","low"
"7003",0.68,0.75,5,243,3,1,0,0,"support","low"
"5760",0.55,0.83,5,220,3,0,0,0,"hr","low"
"12967",0.29,0.91,4,183,4,0,0,0,"RandD","low"
"12603",0.1,0.84,7,250,4,0,1,0,"product_mng","low"
"11812",0.83,0.6,4,161,2,0,0,0,"management","high"
"10018",0.89,0.84,6,196,4,0,0,0,"sales","medium"
"3680",0.84,0.53,3,237,3,1,0,0,"sales","low"
"10357",0.99,0.73,3,181,2,0,0,0,"support","medium"
"3700",0.96,0.75,4,165,3,0,0,0,"technical","high"
"5248",0.5,0.38,5,175,4,0,0,0,"technical","high"
"11482",0.83,0.73,4,157,2,0,0,0,"RandD","medium"
"2599",0.5,0.93,6,150,3,1,0,0,"technical","medium"
"9376",0.61,0.5,3,231,3,0,0,0,"IT","high"
"9259",0.73,0.49,3,248,3,0,0,0,"sales","low"
"5818",0.57,0.62,3,154,2,0,0,0,"sales","medium"
"1379",0.8,0.87,5,240,6,0,1,0,"technical","low"
"5215",0.57,0.53,5,216,2,1,0,0,"sales","medium"
"9396",0.73,0.69,6,273,4,1,0,0,"marketing","medium"
"14981",0.76,0.89,5,238,5,0,1,0,"technical","high"
"1574",0.11,0.9,5,307,4,0,1,0,"support","low"
"3974",0.94,0.8,4,238,3,1,0,0,"management","medium"
"12825",0.9,0.81,4,175,3,0,0,0,"management","medium"
"10408",0.73,0.98,4,216,2,0,0,0,"sales","low"
"12838",0.16,0.54,5,206,5,0,0,0,"sales","medium"
"13418",1,0.72,5,194,7,1,0,0,"sales","medium"
"12254",0.87,0.98,4,248,5,0,1,0,"sales","low"
"6570",0.62,0.36,2,137,4,1,0,0,"marketing","medium"
"6014",0.8,0.89,2,166,3,0,0,0,"technical","medium"
"11587",0.65,0.55,3,156,5,0,0,0,"marketing","low"
"14869",0.43,0.55,2,130,3,0,1,0,"support","high"
"9754",0.92,0.89,3,220,2,0,0,0,"technical","low"
"13292",0.48,0.74,2,271,8,1,0,0,"management","medium"
"10732",0.89,0.57,4,176,4,0,0,0,"support","high"
"1338",0.41,0.56,2,143,3,0,1,0,"technical","low"
"7072",0.57,0.73,3,129,3,0,0,0,"support","medium"
"2016",0.81,0.57,3,224,2,0,0,0,"hr","medium"
"2125",0.72,0.5,3,257,6,0,0,0,"IT","low"
"6122",0.5,0.94,5,176,4,0,0,0,"sales","low"
"1563",0.44,0.57,2,148,3,0,1,0,"technical","low"
"2846",0.73,0.66,3,135,2,0,0,0,"sales","medium"
"4400",0.72,0.87,4,184,4,0,0,0,"support","medium"
"6095",0.53,0.5,5,159,2,0,0,0,"IT","medium"
"5054",0.93,0.75,3,243,2,0,0,0,"sales","medium"
"13859",0.31,0.63,4,104,7,1,0,0,"sales","medium"
"11707",0.42,0.44,3,183,2,0,0,0,"product_mng","medium"
"4184",0.54,0.59,4,228,3,0,0,0,"IT","medium"
"379",0.31,0.56,4,238,2,0,1,0,"accounting","medium"
"7178",0.84,0.99,3,144,4,0,0,0,"sales","medium"
"14957",0.37,0.49,2,148,3,0,1,0,"sales","low"
"3679",0.92,0.96,3,154,2,1,0,0,"sales","low"
"9030",0.78,0.66,4,258,3,0,0,0,"sales","low"
"9373",0.22,0.74,5,178,5,0,0,0,"IT","low"
"4861",0.5,0.85,4,224,6,0,0,0,"support","high"
"4738",0.55,0.85,3,152,2,0,0,1,"management","medium"
"5933",0.86,0.63,4,162,2,0,0,0,"support","medium"
"10342",0.69,0.82,4,272,2,0,0,0,"technical","low"
"12269",0.38,0.56,2,156,3,0,1,0,"technical","low"
"9215",0.94,0.78,4,211,3,0,0,0,"support","medium"
"14747",0.37,0.56,2,156,3,0,1,0,"sales","medium"
"798",0.11,0.91,5,291,4,0,1,0,"technical","low"
"10153",0.67,0.77,4,242,3,0,0,0,"marketing","medium"
"13725",0.98,0.49,3,199,10,0,0,0,"technical","medium"
"516",0.88,1,5,219,6,1,1,0,"technical","low"
"667",0.46,0.62,6,213,3,0,1,0,"support","low"
"10063",0.82,0.89,5,182,3,0,0,0,"IT","low"
"14719",0.39,0.54,2,158,3,0,1,0,"support","low"
"603",0.1,0.84,7,250,4,0,1,0,"product_mng","low"
"7418",0.2,0.38,6,212,6,0,0,0,"sales","high"
"14255",0.1,0.8,7,281,4,0,1,0,"technical","low"
"9665",0.9,0.68,4,204,4,1,0,0,"support","low"
"13475",0.98,0.98,4,170,10,0,0,0,"IT","medium"
"12499",0.44,0.48,2,143,3,0,1,0,"technical","medium"
"4306",0.77,0.64,3,254,3,0,0,0,"accounting","medium"
"14156",0.99,0.68,5,264,10,1,0,0,"support","medium"
"13108",0.69,0.74,5,227,2,0,0,0,"technical","medium"
"774",0.42,0.54,2,159,3,0,1,0,"sales","medium"
"3409",0.56,0.75,4,249,3,0,0,0,"support","low"
"12836",0.51,0.87,2,130,4,0,0,0,"sales","medium"
"7456",0.79,0.9,5,146,3,1,0,0,"support","high"
"2194",1,0.66,4,180,3,0,0,0,"technical","low"
"14917",0.76,0.87,5,262,5,0,1,0,"support","low"
"8872",0.56,0.63,3,145,2,0,0,0,"sales","high"
"5945",0.45,0.6,2,98,3,0,0,0,"product_mng","low"
"13041",0.53,0.51,3,274,2,1,0,0,"product_mng","medium"
"11133",0.43,0.74,4,129,6,0,0,0,"hr","medium"
"13992",0.82,0.67,4,156,3,0,0,0,"product_mng","low"
"4440",0.71,0.62,4,192,4,0,0,0,"sales","medium"
"6285",0.63,0.67,4,149,3,1,0,0,"sales","medium"
"14082",0.86,0.71,5,273,3,0,0,0,"support","medium"
"5748",0.6,0.81,3,226,2,0,0,0,"sales","medium"
"6602",0.96,0.95,5,189,2,0,0,0,"technical","medium"
"10496",0.3,0.66,4,119,3,0,0,0,"technical","low"
"9113",0.86,0.92,4,229,4,0,0,0,"accounting","medium"
"12344",0.41,0.56,2,143,3,0,1,0,"technical","medium"
"10771",0.72,0.61,3,175,3,0,0,0,"sales","high"
"14850",0.84,0.83,4,227,5,0,1,0,"accounting","low"
"2245",0.72,0.56,4,176,2,0,0,0,"hr","medium"
"11239",0.39,0.89,3,188,5,0,0,0,"support","low"
"10708",0.96,0.55,3,225,4,1,0,0,"sales","medium"
"2438",0.72,0.86,4,191,2,0,0,0,"RandD","low"
"7091",0.49,0.57,2,213,3,1,0,0,"product_mng","low"
"13260",0.29,0.39,6,105,6,0,0,0,"technical","medium"
"13099",0.84,0.84,4,266,3,0,0,0,"support","low"
"12042",0.45,0.48,2,158,3,0,1,0,"technical","low"
"7693",0.36,0.77,4,252,2,0,0,0,"management","medium"
"11073",1,0.86,2,264,3,0,0,0,"IT","medium"
"3188",0.56,0.9,4,115,3,0,0,0,"technical","medium"
"3157",0.49,0.98,3,267,3,1,0,0,"sales","medium"
"8281",0.66,0.69,3,182,3,1,0,0,"technical","low"
"62",0.11,0.93,7,308,4,0,1,0,"IT","medium"
"2721",0.63,0.62,4,184,4,0,0,0,"support","medium"
"4758",0.85,0.84,5,179,3,0,0,0,"sales","low"
"845",0.39,0.47,2,152,3,0,1,0,"marketing","medium"
"3246",0.45,0.37,6,226,2,0,0,0,"technical","low"
"10840",0.9,0.67,2,229,4,0,0,0,"sales","low"
"4702",0.28,0.76,3,150,2,0,0,0,"technical","medium"
"14319",0.44,0.5,2,148,3,0,1,0,"accounting","medium"
"13818",0.56,0.39,3,106,8,0,0,0,"management","high"
"5602",0.63,0.79,5,215,2,1,0,0,"accounting","medium"
"10527",0.8,0.96,4,160,4,0,0,0,"IT","low"
"2164",1,0.49,3,185,2,0,0,0,"sales","low"
"9258",0.95,0.94,2,269,4,1,0,0,"sales","low"
"11885",0.61,0.49,3,275,2,0,0,0,"product_mng","low"
"8125",0.72,0.9,4,225,2,0,0,0,"hr","low"
"8485",0.97,0.81,5,266,2,0,0,0,"sales","low"
"6577",0.86,0.5,4,196,2,0,0,0,"sales","low"
"8051",0.52,0.49,5,170,3,0,0,0,"technical","low"
"1821",0.43,0.52,2,136,3,0,1,0,"IT","medium"
"2368",0.64,0.54,3,166,2,0,0,0,"support","medium"
"2038",0.61,0.41,3,138,3,0,0,0,"support","low"
"4216",0.25,0.62,6,271,5,0,0,0,"sales","low"
"13919",0.43,0.66,4,135,2,0,0,0,"IT","high"
"10598",0.79,0.44,2,236,3,0,0,0,"IT","medium"
"10561",0.92,0.4,2,238,3,0,0,0,"accounting","low"
"2099",0.76,0.74,5,132,3,0,0,0,"technical","medium"
"11894",0.74,0.79,5,121,5,0,0,1,"management","high"
"9010",0.86,0.85,2,195,4,0,0,0,"support","medium"
"12934",0.62,0.69,4,184,3,0,0,0,"technical","low"
"6610",0.79,0.56,4,132,3,0,0,0,"support","medium"
"8044",0.49,0.42,2,266,3,0,0,0,"accounting","low"
"5860",0.7,0.79,6,257,4,0,0,0,"technical","medium"
"1597",0.36,0.48,5,310,3,0,1,0,"product_mng","medium"
"4527",0.92,0.61,2,228,2,0,0,0,"sales","low"
"4831",0.53,0.64,2,177,4,0,0,0,"sales","low"
"2443",0.92,0.69,3,192,3,0,0,0,"accounting","medium"
"4747",0.93,0.92,3,248,2,0,0,0,"sales","medium"
"2518",0.55,0.63,5,184,4,0,0,0,"marketing","medium"
"5221",0.53,0.5,4,185,3,0,0,0,"hr","low"
"4273",0.54,0.81,5,261,6,0,0,0,"RandD","medium"
"3263",0.79,0.65,2,193,5,0,0,0,"support","medium"
"10047",0.99,0.77,5,160,3,0,0,0,"support","medium"
"2807",0.59,0.62,3,178,4,0,0,0,"technical","medium"
"7126",0.56,0.51,5,256,4,1,0,0,"sales","low"
"2817",0.95,0.45,3,225,2,0,0,0,"product_mng","low"
"5501",0.76,0.76,4,149,3,0,0,0,"technical","medium"
"9133",0.91,0.49,2,180,3,0,0,0,"support","low"
"14339",0.7,0.89,3,183,5,0,1,0,"support","low"
"5741",0.51,0.96,3,192,3,0,0,0,"sales","medium"
"7613",1,0.99,4,184,4,0,0,0,"support","low"
"310",0.1,0.94,6,285,4,0,1,0,"support","medium"
"10103",0.55,0.54,3,190,3,0,0,0,"sales","low"
"983",0.85,0.97,4,266,6,0,1,0,"product_mng","low"
"5807",1,0.71,4,216,2,0,0,0,"technical","low"
"6854",0.8,0.82,4,175,2,0,0,0,"management","low"
"4251",0.65,0.98,3,136,3,0,0,0,"support","low"
"9342",0.57,0.99,3,231,3,0,0,0,"hr","low"
"3999",0.67,0.82,4,246,4,0,0,0,"accounting","medium"
"9985",0.66,0.48,3,203,4,1,0,0,"management","low"
"9550",0.39,0.39,2,131,2,0,0,0,"marketing","high"
"12162",0.9,0.98,5,243,6,0,1,0,"marketing","low"
"11694",0.14,0.58,3,179,5,0,0,0,"support","low"
"8798",0.52,0.63,3,171,2,0,0,0,"sales","low"
"6207",0.48,0.84,3,146,2,1,0,0,"sales","medium"
"14627",0.42,0.48,2,155,3,0,1,0,"hr","medium"
"1236",0.4,0.49,2,140,3,0,1,0,"sales","medium"
"11032",0.78,0.63,5,259,3,0,0,0,"sales","low"
"8780",0.82,0.73,3,148,4,0,0,0,"sales","high"
"272",0.11,0.84,6,251,4,0,1,0,"technical","medium"
"3543",0.83,0.57,3,232,4,0,0,0,"hr","medium"
"8673",0.77,0.5,5,170,2,0,0,0,"support","low"
"7620",0.72,0.82,4,231,3,0,0,0,"IT","low"
"11545",0.87,0.82,4,198,7,0,0,0,"sales","medium"
"9363",0.56,0.49,3,208,3,0,0,0,"support","low"
"5720",0.78,1,4,154,2,0,0,0,"IT","low"
"13559",0.69,0.72,4,185,10,1,0,0,"management","high"
"2213",0.91,0.89,4,197,4,0,0,0,"marketing","medium"
"6644",0.81,0.59,4,187,2,0,0,0,"technical","low"
"14576",0.4,0.5,2,141,3,1,1,0,"technical","low"
"7634",0.6,0.77,3,202,3,0,0,0,"sales","low"
"3370",0.69,0.53,3,135,2,0,0,0,"sales","low"
"11658",0.73,0.57,3,146,2,0,0,0,"product_mng","low"
"11553",0.52,0.83,5,145,3,0,0,0,"sales","medium"
"11110",0.84,0.63,3,121,3,1,0,0,"sales","low"
"3286",0.51,0.52,3,164,3,0,0,0,"support","low"
"7592",0.69,0.63,3,137,3,0,0,0,"technical","low"
"2066",0.15,0.97,3,198,5,0,0,0,"management","medium"
"6118",0.9,0.6,3,268,3,0,0,0,"sales","low"
"7759",0.5,0.95,4,222,3,1,0,0,"support","medium"
"6852",0.48,0.56,3,229,3,0,0,0,"technical","low"
"11908",0.66,0.96,3,243,3,1,0,0,"sales","medium"
"12994",0.75,0.77,5,199,4,0,0,0,"sales","medium"
"11632",0.49,0.78,4,254,10,0,0,0,"management","high"
"2928",0.68,0.56,4,272,3,0,0,0,"sales","low"
"10580",0.52,0.79,4,234,3,0,0,0,"support","low"
"11991",0.49,0.49,4,212,7,0,0,0,"product_mng","medium"
"5546",0.21,0.92,2,211,2,0,0,0,"support","medium"
"14229",0.78,0.99,4,255,6,0,1,0,"sales","low"
"4616",0.97,0.78,4,261,2,0,0,0,"technical","medium"
"13845",0.77,0.89,4,269,10,0,0,0,"management","high"
"2390",0.93,0.63,3,160,4,1,0,0,"sales","low"
"14586",0.86,0.84,5,254,5,0,1,0,"product_mng","medium"
"3926",0.14,0.68,4,273,5,1,0,0,"hr","medium"
"222",0.37,0.5,2,135,3,0,1,0,"product_mng","low"
"10075",0.85,0.76,3,197,5,0,0,0,"IT","medium"
"2664",0.54,0.94,5,229,3,1,0,0,"product_mng","low"
"2979",0.88,0.86,3,187,3,0,0,0,"marketing","low"
"2485",0.94,0.89,4,239,3,0,0,0,"technical","medium"
"4074",0.5,0.56,3,164,3,0,0,0,"accounting","medium"
"7820",0.67,0.96,4,207,3,0,0,0,"technical","medium"
"1075",0.86,0.83,4,270,5,0,1,0,"marketing","medium"
"2185",0.79,0.84,3,176,3,0,0,0,"support","low"
"7679",0.98,0.79,4,231,4,0,0,0,"support","medium"
"10889",0.2,0.94,6,191,5,0,0,0,"support","low"
"7610",0.85,0.75,3,214,3,0,0,0,"support","medium"
"1741",0.37,0.53,2,140,3,0,1,0,"management","medium"
"7171",0.74,0.6,3,232,3,0,0,0,"IT","low"
"1973",0.36,0.5,2,131,3,0,1,0,"IT","medium"
"9635",0.93,0.69,3,213,4,0,0,0,"sales","low"
"7850",0.86,0.53,3,213,3,0,0,0,"IT","high"
"14393",0.1,0.84,6,261,4,0,1,0,"accounting","medium"
"8702",0.78,0.68,4,174,3,1,0,0,"RandD","low"
"13430",0.95,0.84,3,261,8,1,0,1,"hr","medium"
"10136",1,0.56,5,247,3,0,0,0,"technical","low"
"4681",0.55,0.49,5,195,3,0,0,0,"sales","low"
"718",0.11,0.78,6,243,4,0,1,0,"hr","low"
"4429",0.54,0.49,2,155,2,1,0,0,"marketing","medium"
"988",0.1,0.79,6,249,4,0,1,0,"RandD","low"
"5623",0.86,0.51,3,230,3,0,0,0,"support","medium"
"9816",1,0.58,4,229,2,1,0,0,"technical","medium"
"12991",0.79,0.61,4,227,2,0,0,1,"sales","high"
"4344",0.72,0.86,4,137,2,0,0,0,"product_mng","low"
"7817",0.3,0.88,5,245,4,0,0,0,"hr","low"
"3551",0.85,0.78,5,263,2,1,0,0,"technical","low"
"8591",0.47,0.55,4,100,4,1,0,0,"technical","low"
"11851",0.16,0.7,3,178,3,1,0,0,"technical","low"
"7417",0.71,0.79,4,261,3,0,0,0,"sales","high"
"14599",0.1,0.97,6,247,4,0,1,0,"management","medium"
"8328",0.48,0.64,4,146,2,0,0,0,"marketing","low"
"6752",0.58,0.91,3,124,2,0,0,0,"technical","medium"
"4631",0.24,0.89,5,228,4,1,0,0,"support","high"
"10039",0.98,0.56,3,103,5,0,0,0,"technical","medium"
"8419",0.54,0.48,3,275,2,0,0,0,"sales","high"
"9883",0.9,0.53,3,167,3,0,0,0,"hr","low"
"5",0.37,0.52,2,159,3,0,1,0,"sales","low"
"5093",0.97,0.87,2,175,6,0,0,0,"support","high"
"3065",0.95,0.66,4,168,2,0,0,0,"sales","medium"
"14666",0.09,0.97,7,254,4,1,1,0,"RandD","medium"
"8614",0.48,0.98,3,259,6,0,0,0,"IT","medium"
"6691",0.92,0.74,3,137,2,0,0,0,"support","low"
"13025",0.76,0.88,5,265,4,0,0,0,"support","low"
"14337",0.11,0.92,6,260,4,0,1,0,"support","low"
"14626",0.91,0.97,5,233,5,0,1,0,"hr","medium"
"12035",0.84,0.87,4,246,6,0,1,0,"hr","low"
"12753",0.37,0.57,2,129,3,0,1,0,"product_mng","low"
"8595",0.91,0.61,3,262,3,0,0,0,"technical","low"
"12298",0.4,0.52,2,147,3,0,1,0,"product_mng","medium"
"5742",0.59,0.39,4,190,5,0,0,0,"sales","medium"
"8904",0.65,0.84,3,189,2,1,0,0,"support","low"
"6338",0.32,0.73,3,180,6,0,0,0,"support","low"
"11578",0.55,0.78,4,261,3,0,0,0,"management","high"
"1544",0.77,0.81,5,237,5,0,1,0,"sales","medium"
"10142",0.68,0.69,3,148,2,0,0,0,"IT","low"
"1959",0.4,0.57,2,151,3,0,1,0,"support","low"
"7326",0.78,0.87,3,183,4,0,0,0,"RandD","low"
"12540",0.11,0.94,7,244,4,0,1,0,"management","medium"
"4049",0.54,0.42,3,138,3,1,0,0,"support","medium"
"1424",0.39,0.49,2,146,3,0,1,0,"support","low"
"12480",0.11,0.96,7,277,5,0,1,0,"sales","low"
"6878",0.74,0.94,4,255,4,0,0,0,"marketing","medium"
"13273",0.9,0.73,2,203,4,0,0,0,"support","medium"
"5778",0.95,0.63,4,153,3,0,0,0,"support","low"
"517",0.1,0.89,6,247,4,0,1,0,"technical","low"
"881",0.38,0.88,3,154,4,0,1,0,"technical","medium"
"1223",0.4,0.46,2,134,3,0,1,0,"accounting","low"
"2570",0.79,0.58,5,165,3,0,0,0,"support","low"
"313",0.4,0.54,2,139,3,0,1,0,"marketing","low"
"1827",0.1,0.86,6,247,4,0,1,0,"IT","medium"
"4782",0.72,0.7,3,149,3,0,0,0,"support","medium"
"8477",0.9,0.5,4,139,2,0,0,0,"accounting","low"
"13697",0.71,0.53,4,196,2,1,0,0,"sales","low"
"11564",0.65,0.54,4,147,10,0,0,0,"sales","low"
"9610",0.99,0.81,4,246,3,1,0,0,"product_mng","low"
"10456",0.52,0.82,3,170,3,0,0,0,"RandD","low"
"1159",0.57,0.85,4,219,2,1,1,0,"sales","medium"
"4574",0.75,0.37,3,256,3,0,0,0,"product_mng","medium"
"14844",0.11,0.89,6,260,5,0,1,0,"sales","low"
"2717",0.6,0.87,4,227,3,1,0,0,"technical","medium"
"6676",0.4,0.86,2,264,5,0,0,0,"technical","medium"
"6351",0.79,0.6,5,223,3,0,0,0,"sales","low"
"8142",0.61,0.7,5,157,4,0,0,0,"support","low"
"7775",0.63,0.76,3,176,2,0,0,0,"product_mng","low"
"13901",0.51,0.76,4,140,3,0,0,0,"support","low"
"2207",0.16,0.98,5,284,5,0,0,0,"IT","medium"
"4228",0.67,0.67,3,183,3,0,0,0,"accounting","medium"
"6461",0.81,0.73,4,186,3,0,0,0,"support","low"
"9188",0.9,0.55,4,211,3,0,0,0,"accounting","medium"
"9102",0.64,0.94,3,221,2,0,0,0,"sales","low"
"6909",0.75,0.58,3,159,3,0,0,0,"technical","medium"
"3048",0.48,0.59,5,235,3,0,0,0,"product_mng","low"
"8190",0.52,0.69,3,144,3,0,0,0,"sales","medium"
"7808",0.7,0.78,5,264,2,0,0,0,"sales","medium"
"6140",0.5,0.95,2,208,2,0,0,0,"hr","low"
"13026",0.88,0.61,4,177,4,1,0,0,"support","low"
"5142",0.98,0.73,5,185,3,0,0,0,"accounting","medium"
"13690",0.57,0.78,3,134,3,0,0,0,"RandD","medium"
"9199",0.91,0.9,3,169,3,0,0,0,"technical","low"
"14678",0.37,0.48,2,134,3,0,1,0,"marketing","medium"
"2344",0.82,0.97,3,115,2,1,0,0,"support","low"
"564",0.1,0.77,7,291,4,0,1,0,"accounting","low"
"12570",0.25,0.46,4,214,4,0,1,0,"technical","medium"
"2124",0.84,0.89,4,187,2,1,0,0,"IT","low"
"9598",0.41,0.5,6,257,6,1,0,0,"support","low"
"4509",0.87,0.56,4,121,2,0,0,1,"technical","medium"
"2193",0.64,0.58,5,115,5,0,0,0,"support","low"
"3420",0.79,0.56,6,205,4,1,0,0,"IT","medium"
"5127",0.8,0.75,3,134,4,0,0,0,"sales","medium"
"3946",0.97,0.53,4,247,3,0,0,0,"support","low"
"1962",0.11,0.96,6,280,4,0,1,0,"support","low"
"764",0.39,0.46,2,159,3,0,1,0,"sales","medium"
"671",0.11,0.95,6,245,4,0,1,0,"management","low"
"13996",0.72,0.88,3,189,3,1,0,0,"management","high"
"13361",0.28,0.44,4,170,2,0,0,0,"support","low"
"13960",0.99,0.6,4,209,8,1,0,0,"IT","medium"
"11647",0.88,0.51,3,211,7,0,0,0,"sales","medium"
"10647",0.53,0.8,4,241,3,1,0,0,"technical","low"
"10982",0.75,0.78,2,259,3,0,0,0,"product_mng","low"
"11410",0.87,0.87,5,207,2,0,0,0,"sales","high"
"13314",0.96,0.82,4,244,3,0,0,0,"support","high"
"13070",0.53,0.77,4,259,2,1,0,1,"sales","medium"
"5655",0.82,0.58,2,248,6,0,0,0,"management","low"
"13790",0.76,0.56,5,222,10,0,0,0,"management","high"
"9624",0.57,0.64,4,151,2,0,0,0,"management","medium"
"395",0.42,0.56,2,133,3,0,1,0,"sales","low"
"12135",0.36,0.5,2,132,3,0,1,0,"technical","low"
"11643",0.69,0.65,3,153,2,0,0,0,"marketing","medium"
"12469",0.9,0.92,5,245,5,0,1,0,"sales","low"
"13519",0.72,0.62,3,243,2,1,0,0,"hr","low"
"6547",0.85,0.65,3,187,2,0,0,0,"management","high"
"14918",0.4,0.48,2,142,3,0,1,0,"support","low"
"10933",0.13,0.61,5,198,5,0,0,0,"sales","medium"
"10728",0.97,0.93,3,153,2,0,0,0,"technical","low"
"12590",0.39,0.54,2,155,3,0,1,0,"support","low"
"4431",0.51,0.58,4,272,3,0,0,0,"accounting","medium"
"6908",0.69,0.81,5,217,2,0,0,0,"technical","medium"
"12051",0.13,0.78,6,152,2,0,1,0,"support","low"
"3512",0.72,0.96,3,143,3,0,0,0,"sales","low"
"4756",0.86,0.66,3,150,2,0,0,0,"sales","low"
"9613",0.97,0.74,3,134,3,1,0,0,"marketing","high"
"7025",0.57,0.97,5,126,5,0,0,0,"sales","medium"
"11302",0.76,0.99,3,133,4,0,0,0,"sales","low"
"8065",0.5,0.88,4,147,3,0,0,0,"support","medium"
"10821",0.48,0.58,3,194,3,0,0,0,"technical","medium"
"14581",0.1,0.82,6,266,4,0,1,0,"IT","low"
"1873",0.1,0.87,7,251,5,0,1,0,"technical","low"
"441",0.41,0.48,2,139,3,0,1,0,"technical","low"
"11596",0.15,0.6,5,188,7,0,0,0,"sales","medium"
"12049",0.4,0.54,2,148,3,0,1,0,"support","low"
"2471",0.62,0.72,5,180,3,0,0,0,"accounting","low"
"12284",0.1,0.93,6,289,4,1,1,0,"support","low"
"9165",0.5,0.77,3,204,2,0,0,0,"marketing","medium"
"8601",0.53,0.51,4,181,3,0,0,0,"support","low"
"9914",0.42,0.58,2,140,3,0,0,0,"IT","low"
"4676",0.65,0.48,3,131,3,1,0,0,"sales","medium"
"9269",0.54,0.48,6,196,2,0,0,0,"hr","medium"
"5185",0.59,0.51,3,243,2,0,0,0,"RandD","low"
"3023",0.82,0.63,4,232,4,0,0,0,"technical","low"
"1655",0.1,0.89,7,253,4,0,1,0,"support","low"
"68",0.9,0.98,4,264,6,0,1,0,"product_mng","medium"
"12635",0.82,0.92,5,225,5,0,1,0,"sales","low"
"113",0.43,0.52,2,160,3,0,1,0,"technical","low"
"10436",0.94,0.48,4,143,2,0,0,0,"support","medium"
